               Name                      E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G014T64-2ES              4894.207        -0.222        1001.095       5323.616       -967.138       1001.095         0.295          3.142       0.00637244   
   L20G014T64-2_G015T34-11_C9ES        9564.37         0.145        3066.348       10059.089      1705.927       3066.348         0.419          1.362        0.0090452   
    L20G014T64-2_G015T34-2_C9ES       11664.375        0.211        4127.552       13148.206      3516.187       4127.552         0.457          1.167       0.00987668   
    L20G014T64-2_G017T34-0_C9ES       12228.313        0.222        4470.234       14002.325      3995.522       4470.234         0.468          1.119       0.01010066   
    L20G014T64-2_G017T34-4_C9ES       9133.524         0.129        2853.292       9496.393       1406.469       2853.292         0.409          1.418        0.0088427   
    L20G014T64-2_G025T34-2_C9ES       12580.439        0.121         3122.45       13013.972      1791.457        3122.45         0.41           1.797       0.00885394   
    L20G014T64-2_G025T34-4_C9ES       13973.663        0.176        3432.221       15109.676      3227.309       3432.221         0.43           1.731       0.00929164   
    L20G014T64-2_G025T34-5_C9ES       14012.979        0.172        3651.421       15091.394      3134.927       3651.421         0.452          1.637       0.00975447   
    L20G014T64-2_G027T34-1_C9ES       11881.166        0.102        2957.681       12163.001      1381.544       2957.681         0.399          1.823       0.00862912   
    L20G014T64-2_G027T34-2_C9ES       13222.153        0.155         2956.32       14019.348      2571.596        2956.32         0.422          1.936       0.00911352   
    L20G014T64-2_G027T34-3_C9ES       14075.695        0.174        3726.573       15189.176      3199.657       3726.573         0.462          1.609       0.00998159   
          L20G014T64-3ES              4899.554        -0.221         1001.76       5325.612       -963.931        1001.76         0.295          3.139       0.00637244   
    L20G014T64-3_G025T34-1_C9ES       14000.787        0.172        3649.179       15078.264       3132.2        3649.179         0.452          1.637       0.00975447   
    L20G014T64-3_G025T34-4_C9ES       12575.449        0.121        3122.566       13008.81       1790.746       3122.566         0.41           1.796       0.00885394   
    L20G014T64-3_G027T34-0_C9ES       14062.678        0.174        3724.688       15175.129      3196.698       3724.688         0.462          1.608       0.00998159   
    L20G014T64-3_G027T34-2_C9ES       11877.991        0.102        2956.232       12159.751      1381.174       2956.232         0.399          1.823       0.00862912   
          L20G014T64-6ES              2441.698         0.321        1658.825       3505.709       1657.338       1658.825         0.209          0.557       0.00451762   
          L20G014T64-7ES              2445.094         0.321        1661.292       3510.585       1659.643       1661.292         0.209          0.557       0.00451762   
          L20G0156T64-0ES              613.302         0.194         718.057        676.478        162.825        718.057         0.166          0.358       0.00357878   
          L20G0156T64-1ES              611.607         0.193         717.937        673.81         161.147        717.937         0.166          0.357       0.00357919   
          L20G0158T64-0ES             5723.378         0.221        1874.756       6543.951        1856.5        1874.756         0.274          1.25        0.00592732   
          L20G0158T64-1ES             2536.822         0.072         438.515       2565.485        199.046        438.515         0.239          2.698       0.00517225   
          L20G0158T64-2ES             6341.782         0.192        2162.157       6978.558       1658.271       2162.157         0.322          1.23        0.00695552   
          L20G0158T64-3ES             6355.795         0.192        2161.025       6993.978       1661.935       2161.025         0.322          1.234       0.00695552   
